Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
STUX39: 39-14k Cubic Zirc Princess Cut Piercing Earrings,,,,2,$113.90 ,,0.27%,,,,0.03%
STUX40: 40-14k Butterfly Piercing Earrings,,,,5,$227.80 ,,0.54%,,,,0.05%
SX20: CZ 3mm Pink Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SX21: CZ 3x3mm Princess Cut Piercing Earrings,,,,6,$209.70 ,,0.50%,,,,0.05%
SX22: Cz 3x3mm Princess Cut Pink Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SX25: AB Crystal Rose Daisy Piercing Earrings,,,,4,$142.85 ,,0.34%,,,,0.03%
SX30: Light Sapphire 3mm Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SXJE3104: 4-Apr Piercing Earings,,,,4,$139.80 ,,0.33%,,,,0.03%
SXJEBCB: Baby CZ Bezel Piercing Earrings,,,,1,$56.95 ,,0.14%,,,,0.01%
SXJECAR: Rose Crystal Daisy Piercing Earrings,,,,4,$227.80 ,,0.54%,,,,0.05%
SXJECAS: Crystal Sapphire Daisy Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SXJECRY: 14 Crystal Daisy Piercing Earings,,,,10,$554.50 ,,1.33%,,,,0.13%
SXJECZPST: 31 CZ 5mm Pink Star Piercing Earings,,,,10,$304.55 ,,0.73%,,,,0.07%
SXJECZPT: CZ 2mm Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SXJECZT: CZ 3mm Bezel Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SXJELSAP: CZ 3mm Piercing Earrings,,,,2,$0.00 ,,0.00%,,,,0.00%
SXJEMARB: 3-Mar Piercing Earings,,,,2,$64.90 ,,0.16%,,,,0.02%
SXJEOCTB: Oct Rose Piercing Earrings,,,,1,$34.95 ,,0.08%,,,,0.01%
SXJESOC: Soccer Ball Piercing Earrings,,,,2,$34.95 ,,0.08%,,,,0.01%
SXJESTAR: Cross 4mm Piercing Earrings,,,,2,$69.90 ,,0.17%,,,,0.02%
SXJETAN: Rainbow Crystal Piercing Earrings,,,,1,$25.50 ,,0.06%,,,,0.01%
SXJW001: 33 Rainbow Daisy Piercing Earings,,,,4,$134.80 ,,0.32%,,,,0.03%
SXJW002: 32 Fuschia Daisy Piercing Earings,,,,3,$104.85 ,,0.25%,,,,0.02%
